Word,percentage_difference
qanon,32.315521628498715
kag,31.951219512195124
walkaway,28.093947606142727
usa,27.51196172248805
patriots,26.732673267326717
racism,26.315789473684216
lie,25.850340136054424
americafirst,25.561797752808978
wwg1wga,25.51928783382788
voteredtosaveamerica,25.50415183867142
low,24.262295081967224
truth,24.083769633507853
borders,23.773006134969325
destroy,23.054755043227665
lying,22.685185185185176
illegals,22.65060240963855
redwave,22.454545454545443
economy,22.339181286549696
taxes,22.284122562674096
maga,22.045611610228065
crime,21.874999999999993
leaders,21.864951768488762
liberal,21.560846560846556
votered,21.067259588660363
gillum,21.038961038961045
job,20.961538461538463
independent,20.958083832335326
corruption,20.64516129032259
obama,20.174799708667155
aliens,19.64285714285715
schumer,19.592875318066152
fake,19.465648854961824
violence,19.379844961240313
andrew,19.05697445972495
waters,18.550724637681146
oprah,18.543046357615882
via,17.959183673469393
nancy,17.937219730941703
media,17.84274193548388
tax,17.688266199649735
jobsnotmobs,17.620137299771162
months,17.554858934169282
donald,17.48031496062992
kavanaugh,17.41293532338307
hillary,17.120622568093374
rally,17.099863201094387
liberals,17.084282460136674
pelosi,16.995447647951444
strong,16.83778234086242
dems,16.820083682008374
voterepublican,16.74418604651164
higher,16.66666666666668
jobs,16.66666666666667
hold,16.564417177914116
ad,16.462585034013603
border,16.442451420029887
james,16.37323943661972
caravan,16.13475177304965
red,16.046165301563654
missouri,15.8590308370044
resist,15.824175824175821
unemployment,15.710382513661198
trumps,15.535097813578824
lead,15.471698113207546
wave,15.259259259259242
save,15.198237885462545
leadership,15.170278637770881
trump,15.133982947624835
agenda,15.113871635610753
blexit,15.028432168968319
money,14.990512333965853
florida,14.933444259567382
nelson,14.785992217898825
citizens,14.50777202072539
high,14.412811387900348
life,14.285714285714285
wages,14.241960183767233
actually,14.201183431952657
movement,14.144736842105269
dem,13.945578231292528
calls,13.770491803278698
criminal,13.752455795677799
god,13.667820069204147
lies,13.588850174216018
used,13.506493506493515
raise,13.500000000000004
john,13.442622950819677
arizona,13.414634146341472
racist,13.403263403263399
justice,13.29305135951662
radical,13.271604938271622
follow,13.174946004319658
october,13.16568047337279
amnesty,13.029315960912053
democrats,12.998859749144811
tried,12.812499999999998
crowd,12.799999999999997
shows,12.698412698412694
report,12.57668711656444
full,12.539184952978069
